,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
959,147.00378,0.59493357,0.21924497,11.09437,19.5506,18.184486,0.00019328817,5.4923894e-05,919.3998788219386,0.8649077146054992,Field,,
960,147.0391,0.5256071,0.063462734,9.582463,18.7267,17.682978,0.00030676843,0.00011730612,276.6828633382665,0.9176325400122926,Field,,
961,146.89532,0.35901356,0.20484121,11.323956,18.8944,17.655678,0.000314578,0.00010051693,862.1824434966389,0.9198351020159785,Field,,
963,146.88773,0.21745855,0.06296776,10.426326,18.4495,17.410456,0.00039429337,0.00015142604,274.55759073871485,0.9340782503726993,Field,,
964,146.97832,0.38903266,0.07030654,9.365223,19.0244,18.133993,0.00020248936,8.917458e-05,306.01504222259024,0.8687713366717512,Field,,
966,146.9029,0.20893553,0.08021138,11.074755,18.5251,17.224785,0.00046782766,0.0001412406,348.2904334712307,0.9393172450163882,Field,,
967,146.95764,0.39340648,0.06987419,10.264341,18.2825,17.352444,0.00041593384,0.00017660367,304.1649552479571,0.9360256568118379,Field,,
968,147.11308,0.44008896,0.062388457,10.238311,18.0537,17.010876,0.0005697069,0.0002180319,272.06955608804,0.9426912830970846,Field,,
969,146.934,0.81888986,0.15429986,10.9860735,18.768,17.561691,0.00034302368,0.00011292786,657.8379101203549,0.9265847285339757,Field,,
970,146.90637,1.125027,0.16365507,11.111107,18.9236,17.758541,0.00028614418,9.784993e-05,696.0811771079852,0.9106498016972698,Field,,
971,146.90369,1.0353793,0.12338015,10.837325,19.1042,17.648731,0.000316596,8.285519e-05,530.091287220303,0.9203998383289282,Field,,
972,146.80984,1.0727752,0.2994555,11.478195,19.3015,17.869623,0.000258316,6.908778e-05,1229.7683078860523,0.8987404346533865,Field,,
974,146.9372,1.1077349,0.16213256,11.537353,18.7176,17.534777,0.00035163417,0.000118293756,689.8702421362154,0.9282292468029611,Field,,
977,147.032,0.77534944,0.14315186,11.598952,17.683,16.58679,0.0008419444,0.0003067617,612.0179452542459,0.9459373604302801,Field,,
978,147.0805,0.78802025,0.21094812,11.548773,18.389,17.172459,0.0004909251,0.00016010356,886.4967321893371,0.9403589292382549,Field,,
979,146.90205,0.89976233,0.21950549,11.557276,19.0822,17.457972,0.00037740942,8.455128e-05,920.4305923926719,0.932135454657999,Field,,
980,146.84077,0.8862659,0.06234466,10.649526,19.0662,17.762554,0.00028508925,8.5806714e-05,271.88141983622825,0.9102646811582934,Field,,
981,146.84222,0.7408431,0.020131253,9.300351,18.41,17.529613,0.00035331064,0.00015703734,88.67622168683793,0.9285179526343768,Field,,
982,147.07442,0.8852106,0.09820835,10.715158,18.9772,17.83141,0.00026756845,9.313693e-05,424.56871950997385,0.9029103306987942,Field,,
983,147.02167,0.7544711,0.062006347,11.479963,16.824,15.783546,0.001764339,0.0006767097,270.4280556765885,0.9476581815494847,Field,,
984,147.17056,0.53120744,0.10412801,10.684716,18.5427,17.443348,0.00038252407,0.00013896951,449.50700197230924,0.9327852388676132,Field,,
985,147.15059,0.41658878,0.06453946,10.740628,17.9895,17.119507,0.0005154639,0.00023131329,281.30424438817187,0.9412532188289625,Field,,
986,147.18007,0.4296096,0.06333868,10.797427,17.3697,16.337248,0.0010594993,0.00040937524,276.1502662961941,0.9467980449800162,Field,,
987,147.29398,0.3813427,0.10985824,10.702788,19.4064,18.395218,0.00015918928,6.272484e-05,473.5755753582842,0.871059362073666,Field,,
989,147.12735,0.5044617,0.086056866,10.5014105,18.7377,17.668932,0.00031076194,0.00011612358,373.14181460346305,0.9187498755135594,Field,,
990,147.2654,0.46567798,0.07368669,10.065465,19.5526,18.636246,0.00012749735,5.4822438e-05,320.46550194432086,0.8726696311733321,Field,,
992,147.32681,0.2454933,0.092845716,10.656355,18.7085,17.940912,0.00024190034,0.00011928865,401.9121922291855,0.8902468526133143,Field,,
993,147.30829,0.15116349,0.08016862,10.8289795,17.8331,16.80065,0.0006914151,0.00026715396,348.1083807718903,0.944701466781905,Field,,
994,147.12833,0.3692322,0.069840886,10.629191,18.3015,17.496468,0.0003642611,0.0001735405,304.0224257502459,0.9303430073341756,Field,,
995,147.24832,0.31141853,0.1919537,11.490175,18.5285,17.478762,0.0003702514,0.00014079963,810.6049346849726,0.9311944117291175,Field,,
996,147.31445,0.17484306,0.08467233,10.332939,19.249,18.340097,0.00016747993,7.251054e-05,367.2622257740299,0.8677713525721535,Field,,
997,147.19292,0.27191842,0.020162074,9.370326,16.7035,16.232742,0.001166552,0.000756138,88.81134364033319,0.9470573048102884,Field,,
998,147.3056,0.2175774,0.019999301,8.948251,19.0674,18.562265,0.00013648835,8.57118e-05,88.09771542731399,0.874675150721413,Field,,
999,148.59859,-0.73222756,0.046558477,9.622324,19.1667,18.389288,0.00016006068,7.822041e-05,203.80760479463518,0.8707208643385406,Field,,
1000,148.64627,-1.0468934,0.15286647,11.101225,18.7417,17.86005,0.00026060297,0.000115696486,651.9615672614094,0.8997652284632079,Field,,
1001,148.6669,-0.899105,0.09342866,11.009798,17.6107,16.86754,0.0006501064,0.0003278841,404.3780340417641,0.9441122787672639,Field,,
1002,148.57358,-0.89900166,0.08971591,10.4545,18.4407,17.759838,0.00028580255,0.00015265869,388.66068503463083,0.9105265817891515,Field,,
1004,148.65517,-1.0329952,0.1651293,11.047735,18.5737,17.728315,0.000294221,0.00013505785,702.090359550735,0.9135455706820816,Field,,
1005,148.73288,-0.7611592,0.086271614,10.977694,17.6128,16.692593,0.0007637743,0.00032725112,374.0534013285922,0.9453956273684517,Field,,
1006,148.82977,-0.74093264,0.29214615,11.528716,19.4587,18.079693,0.00021287517,5.9775022e-05,1202.0638449740059,0.8742597613364942,Field,,
1007,148.58324,-1.1467696,0.13876392,11.119525,18.4523,17.40191,0.00039740873,0.00015103618,593.9089416356397,0.9344070439496504,Field,,
1008,148.57246,-1.1724519,0.13706292,11.031121,18.5703,17.588621,0.0003346196,0.00013548203,586.8777307524693,0.9248726928786175,Field,,
1009,148.56496,-0.9546149,0.08904524,10.278114,18.6677,17.99856,0.00022939114,0.00012385692,385.8183529685158,0.8834524292228964,Field,,
1010,148.58499,-0.94207436,0.083918706,10.8283825,17.8627,17.147451,0.0005023649,0.00025996854,364.06014201019804,0.9407969271363686,Field,,
1012,148.56557,-0.9360835,0.08971721,10.649763,18.6457,17.851435,0.00026268052,0.00012639236,388.6661783019694,0.9007492410874856,Field,,
1013,148.59436,-1.1734796,0.1369993,11.090825,18.7793,17.695017,0.00030338537,0.00011175805,586.6145979099047,0.9165717162426202,Field,,
1015,148.72704,-1.1209844,0.08433501,10.078194,18.9722,17.975098,0.00023440171,9.3566596e-05,365.8291147113333,0.8863269779851879,Field,,
1017,149.16089,-0.35802022,0.087761,11.572949,17.5155,16.428774,0.0009738477,0.0003579336,380.37300295250554,0.9465281726436173,Field,,
1019,149.12383,-0.39828318,0.08709911,10.587649,18.3815,17.296352,0.0004379862,0.00016121345,377.5651395973286,0.9376351173098472,Field,,
1020,149.11298,-0.34882858,0.089764886,10.82974,18.2855,17.151533,0.00050047983,0.00017611649,388.8681954478048,0.9407339444765923,Field,,
1021,149.18631,-0.3118078,0.08834462,10.810491,18.3295,17.205479,0.00047621914,0.00016912232,382.8480590753473,0.9397144280447133,Field,,
1022,149.11264,-0.47562546,0.08669478,11.044256,17.7033,16.948711,0.0006032781,0.00030107843,375.84940351129165,0.9433750957758201,Field,,
1023,149.19127,-0.259534,0.07061857,10.164622,17.5155,16.59533,0.00083535153,0.0003579336,307.35001837550124,0.9458979385731646,Field,,
1024,149.1499,-0.49002963,0.08809023,10.430999,18.3033,17.568039,0.00034102437,0.0001732534,381.7693322287746,0.9261867442575807,Field,,
1025,149.17152,-0.41298085,0.08546617,10.60318,18.2355,17.193848,0.00048134977,0.00018441761,370.633850096132,0.9399584975882423,Field,,
